size,simple_lomuto,simple_hoar,simple_hafner,julia_hoar,julia_mergesort,julia_hafner,optimized_hafner
10,2.5424141749723147e-8,1.8040037243947858e-8,3.176923076923077e-8,1.858709677419355e-8,2.1026153846153848e-8,3.183085501858736e-8,3.146258503401361e-8
23,7.958333333333333e-8,5.868671679197995e-8,9.222916666666667e-8,5.87525e-8,8.333212996389893e-8,9.564393939393939e-8,7.16838905775076e-8
55,2.480377358490566e-7,1.8145652173913044e-7,2.299620253164557e-7,1.834513888888889e-7,2.6388888888888893e-7,2.4000000000000003e-7,1.9846491228070176e-7
127,7.469512195121951e-7,5.613207547169811e-7,6.850588235294117e-7,5.560961538461539e-7,7.892857142857143e-7,6.752758620689655e-7,5.465686274509805e-7
298,2.598214285714286e-6,1.8574736842105263e-6,2.1355e-6,1.8911666666666668e-6,2.85075e-6,2.16325e-6,1.614625e-6
695,1.16334e-5,7.494142857142857e-6,6.716800000000001e-6,8.166714285714287e-6,1.5166666666666667e-5,6.8e-6,5.013833333333334e-6
1624,5.2792000000000005e-5,4.1e-5,2.05415e-5,4.1208e-5,5.5334e-5,2.1063e-5,1.6333500000000002e-5
3793,0.000136042,0.000108875,5.6000000000000006e-5,0.000108126,0.000145876,5.9209e-5,4.575e-5
8859,0.000356211,0.000281211,0.000142626,0.00029816900000000004,0.00039212800000000005,0.00014895900000000002,0.000114084
20691,0.000938048,0.000734672,0.00036062800000000004,0.000759963,0.001006757,0.000353503,0.00028187700000000004
48329,0.0022793080000000003,0.001855597,0.000852173,0.001911263,0.0026286860000000003,0.0009071320000000001,0.0006870470000000001
112884,0.005867501000000001,0.004848535,0.0021556830000000003,0.004905327,0.0067230480000000006,0.0021247650000000002,0.00169772
263665,0.015124651000000001,0.012282464000000002,0.005144746,0.012354465,0.017112124,0.005214662,0.004140655
615848,0.037414937,0.031089016,0.013058261000000002,0.030336428000000002,0.042530932,0.012825843,0.010211657
1438450,0.091980541,0.077900438,0.030313552,0.0782664,0.110154547,0.032179316,0.025747853
3359818,0.235456828,0.196155126,0.07697814,0.195841749,0.274535277,0.07680684700000001,0.06276999600000001
7847600,0.575801413,0.479980805,0.191761595,0.475546856,0.6734986620000001,0.190009707,0.15242422800000002
18329807,1.374187145,1.1655142200000002,0.460551747,1.1834985580000001,1.651110606,0.47009848200000004,0.37152397800000003
42813324,3.4350363390000003,2.8665087280000003,1.115943319,2.963729931,4.096002159,1.122900245,0.908938989
100000000,8.345724597,7.0283756550000005,2.880819206,7.112136469,10.230238849000001,2.6677212900000002,2.205780367
