size,simple_lomuto,simple_hoare,simple_hafner,julia_hoare,julia_mergesort,julia_hafner,optimized_hafner,theoretical_minimum
10,29.569162,29.571085,29.573382,29.567735,29.569434,29.565034,29.573548,21.791061114716953
23,116.3354140695797,108.86641581298214,113.10952155333017,108.89753255654558,98.5160954225336,113.18933626507076,104.51601032241444,74.4526949183793
55,395.75572275572273,347.4174174174174,354.8952303952304,347.3941908941909,321.90843590843593,354.94159544159544,328.22125972125974,242.84517079395408
127,1171.0877698755398,976.6075057150115,1019.3249809499619,976.851460502921,940.1612903225806,1019.0117094234189,929.3699771399542,709.1617220836218
298,3381.732365825312,2717.034568048395,2885.194415472182,2717.3618023065233,2718.945585123819,2882.804839526775,2604.108054951277,2024.8248326758394
695,9377.078815679733,7335.042396441479,7884.620864609396,7337.762023908813,6611.106130108424,7892.611342785654,7068.550945232138,5564.777373705271
1624,25455.440799090466,19481.52752964106,21199.173298684425,19488.516810134806,17099.231119051485,21165.8661685886,18870.97579990255,14984.227273158296
3793,67634.93361153263,51036.31145675266,55844.218892261,50954.92298937785,45916.26631259484,55815.23558421851,49552.649089529594,39630.57407982153
8859,177361.05673758866,132023.65691489363,145519.7065602837,131990.40425531915,121981.14539007092,145344.87056737588,128633.10815602836,103394.47726716565
20691,458133.2877846791,338554.7163561077,374492.92339544516,338364.2877846791,321296.2277432712,374734.2463768116,330553.04347826086,266798.6766486705
48329,1.183855854368932e6,860883.8980582524,956680.8495145631,859115.0533980583,738475.6504854369,956759.3058252428,843028.8980582524,682313.4084293498
112884,2.988651352272727e6,2.180395227272727e6,2.431072909090909e6,2.173433897727273e6,1.8992282613636365e6,2.43671475e6,2.127522772727273e6,1.731851939479708e6
263665,7.565550945945946e6,5.444032621621622e6,6.105344081081081e6,5.46561127027027e6,4.862890918918919e6,6.136377945945946e6,5.353910054054054e6,4.367792834793976e6
615848,1.91573535625e7,1.37038403125e7,1.53596134375e7,1.3728624e7,1.2416142875e7,1.53589990625e7,1.34713161875e7,1.0955651101379946e7
1438450,4.7569270166666664e7,3.3668057e7,3.8060545833333336e7,3.4480237666666664e7,2.8965177e7,3.8813210666666664e7,3.37135985e7,2.7349820389527712e7
3359818,1.1995071266666667e8,8.511102e7,9.5390993e7,8.3196951e7,7.244529533333333e7,9.736881833333333e7,8.279771833333333e7,6.799351120584719e7
7847600,2.964152946666667e8,2.07811683e8,2.31859078e8,2.0645342266666666e8,1.8162373e8,2.34773535e8,2.0262865e8,1.6841833761222044e8
18329807,7.284999996666666e8,5.152310206666667e8,5.743119803333334e8,5.124608566666667e8,4.548548606666667e8,5.744408186666666e8,5.039766153333333e8,4.15811560884935e8
42813324,1.789708764e9,1.2490200023333333e9,1.4402657873333333e9,1.271074036e9,1.138174891e9,1.4269311936666667e9,1.2436834903333333e9,1.0236178467228992e9
100000000,4.380950130666667e9,3.1485556456666665e9,3.4935455403333335e9,3.0752638526666665e9,2.6312950256666665e9,3.4706365836666665e9,3.0353986906666665e9,2.513272986434454e9
