size,simple_lomuto,simple_hoare,simple_hafner,julia_hoare,julia_mergesort,julia_hafner,optimized_hafner
10,1.6902461257976298e-8,1.68416447944007e-8,2.8969957081545066e-8,1.6811158798283265e-8,1.6780669144981412e-8,2.9704838709677418e-8,2.883211678832117e-8
23,5.6445812807881775e-8,5.6924882629107984e-8,8.318050541516247e-8,5.5798687089715544e-8,8.267460317460318e-8,9.052107279693487e-8,6.403514376996806e-8
55,1.8291911764705884e-7,1.7219867549668877e-7,2.2224444444444447e-7,1.752317880794702e-7,2.5741121495327103e-7,2.2556521739130435e-7,1.9015873015873016e-7
127,5.655102040816327e-7,5.34622641509434e-7,6.374324324324325e-7,5.354150943396227e-7,7.80763157894737e-7,6.536875000000001e-7,5.128653846153847e-7
298,1.9365263157894735e-6,1.77095e-6,2.016153846153846e-6,1.8147000000000002e-6,2.727769230769231e-6,2.028923076923077e-6,1.566294117647059e-6
695,1.1532e-5,7.214714285714286e-6,6.3922e-6,7.613571428571429e-6,1.4751000000000002e-5,6.4422e-6,4.6667142857142866e-6
1624,4.2917e-5,3.6125000000000004e-5,2.0187500000000003e-5,4.075e-5,5.5291e-5,2.0312500000000002e-5,1.56665e-5
3793,0.00011491700000000001,0.00010637500000000001,5.5667e-5,0.000106292,0.000146083,5.6209000000000003e-5,4.4333000000000004e-5
8859,0.00030195900000000003,0.000274125,0.00013737500000000002,0.00027775,0.000380209,0.000139042,0.000109333
20691,0.000777626,0.000718917,0.00033762500000000003,0.000712292,0.000978834,0.00034212500000000004,0.00026970900000000003
48329,0.002003876,0.0018273340000000001,0.00083175,0.0018438760000000002,0.0026086660000000004,0.000843124,0.000663375
112884,0.00505129,0.004663957000000001,0.0020385,0.004679999000000001,0.006565165,0.002053375,0.0016181250000000002
263665,0.012788079,0.011714163000000001,0.004980707,0.01174708,0.016459204,0.005016832000000001,0.004011374
615848,0.032102116,0.029631408,0.012142288000000001,0.02954195,0.041088030000000005,0.012316246000000001,0.009853539000000001
1438450,0.08049856100000001,0.07362339600000001,0.029922825000000004,0.07322756300000001,0.10572292800000001,0.03017395,0.024162982000000003
3359818,0.198107096,0.181559095,0.072466905,0.184597421,0.260853983,0.07289378,0.058323815
7847600,0.49211979000000006,0.450945058,0.177872312,0.45613850300000003,0.643852667,0.179187018,0.14345864700000002
18329807,1.2327211770000002,1.108692857,0.42721469900000003,1.1205864110000001,1.584823936,0.43421576500000003,0.348878558
42813324,3.004600561,2.7594345760000003,1.047100827,2.7276730390000004,3.872813459,1.064732,0.846788709
100000000,7.316690830000001,6.614040074,2.5119839400000004,6.629261806000001,9.727947253,2.5419402,2.118566818
